"","StockCode","Categoria"
"152","22266","Categoria 3"
"153","22267","Categoria 6"
"154","22286","Categoria 2"
"155","85180A","Categoria 6"
"156","22081","Categoria 7"
"157","22249","Categora 1"
"158","85186A","Categoria 4"
"159","21437","Categoria 2"
"160","84816","Categoria 7"
"161","85049B","Categoria 7"
"162","85049D","Categora 1"
"163","85049H","Categoria 3"
"164","75049L","Categoria 2"
"165","82613A","Categoria 8"
"166","82613D","Categoria 3"
"167","22185","Categoria 2"
"168","21303","Categoria 2"
"169","47568","Categoria 8"
"170","47556B","Categoria 3"
"171","21463","Categora 1"
"172","22074","Categoria 7"
"173","21760","Categoria 6"
"174","22560","Categoria 2"
"175","22083","Categoria 2"
"176","21756","Categoria 7"
"177","22456","Categoria 8"
"178","47570","Categoria 2"
"179","47570B","Categora 1"
"180","84520B","Categoria 4"
"181","22304","Categoria 2"
"182","22305","Categoria 7"
"183","22039","Categoria 5"
"184","22045","Categoria 7"
"185","22051","Categoria 5"
"186","22032","Categoria 6"
"187","21916","Categoria 4"
"188","22391","Categoria 6"
"189","22089","Categoria 4"
"190","21983","Categoria 2"
"191","20983","Categoria 4"
"192","22188","Categoria 7"
"193","21918","Categoria 4"
"194","21078","Categoria 6"
"195","22256","Categoria 7"
"196","84741C","Categoria 2"
"197","22561","Categoria 3"
"198","84912A","Categora 1"
"199","22485","Categoria 6"
"200","21922","Categoria 8"
"201","84795C","Categoria 4"
"202","22077","Categoria 4"
"203","85049F","Categoria 6"
"204","84971S","Categoria 3"
"205","84927F","Categora 1"
"206","47566B","Categoria 5"
"207","85090","Categoria 6"
"208","21984","Categoria 2"
"209","22046","Categoria 7"
"210","22050","Categoria 7"
"211","21232","Categoria 4"
"212","15060B","Categoria 2"
"213","37503","Categoria 4"
"214","84509G","Categoria 7"
"215","84509B","Categoria 3"
"216","84509A","Categoria 3"
"217","79030A","Categoria 7"
"218","22424","Categoria 5"
"219","22427","Categoria 8"
"220","47597","Categora 1"
"221","84509F","Categoria 7"
"222","79030G","Categoria 5"
"223","35400","Categoria 7"
"224","21231","Categoria 8"
"225","22644","Categoria 7"
"226","21268","Categora 1"
"227","22168","Categora 1"
"228","85049G","Categoria 2"
"229","35924","Categoria 3"
"230","22055","Categoria 7"
"231","22629","Categoria 6"
"232","22630","Categoria 8"
"233","22353","Categoria 2"
"234","21558","Categoria 6"
"235","22067","Categoria 5"
"236","22024","Categoria 8"
"237","21509","Categora 1"
"238","22718","Categoria 3"
"239","22031","Categoria 4"
"240","22736","Categora 1"
"241","22738","Categora 1"
"242","22739","Categoria 8"
"243","22818","Categoria 8"
"244","22816","Categoria 6"
"245","22910","Categoria 7"
"246","21410","Categoria 3"
"247","22508","Categoria 8"
"248","22959","Categora 1"
"249","22670","Categoria 2"
"250","22671","Categoria 8"
"251","22672","Categoria 5"
"252","22784","Categoria 2"
"253","22791","Categoria 5"
"254","84832","Categoria 3"
"255","84347","Categoria 7"
"256","21098","Categoria 6"
"257","22744","Categoria 7"
"258","85049E","Categoria 6"
"259","21001","Categora 1"
"260","47594A","Categoria 8"
"261","21741","Categora 1"
"262","22737","Categoria 2"
"263","22633","Categoria 5"
"264","21841","Categoria 3"
"265","21889","Categoria 6"
"266","22549","Categoria 2"
"267","22550","Categoria 2"
"268","22720","Categoria 2"
"269","22989","Categoria 2"
"270","22990","Categoria 5"
"271","23182","Categoria 2"
"272","22258","Categora 1"
"273","22259","Categoria 5"
"274","21389","Categoria 7"
"275","47566","Categoria 2"
"276","21907","Categora 1"
"277","22283","Categora 1"
"278","22567","Categoria 2"
"279","21155","Categoria 4"
"280","84919","Categora 1"
"281","46000S","Categoria 3"
"282","21000","Categora 1"
"283","22797","Categoria 4"
"284","21199","Categoria 5"
"285","21198","Categoria 4"
"286","21430","Categoria 3"
"287","21428","Categoria 5"
"288","22819","Categoria 5"
"289","22035","Categoria 4"
"290","22984","Categoria 2"
"291","22178","Categoria 4"
"292","22743","Categora 1"
"293","21115","Categoria 6"
"294","22668","Categora 1"
"295","22669","Categoria 6"
"296","23298","Categoria 5"
"297","22912","Categoria 3"
"298","22914","Categoria 4"
"299","84792","Categora 1"
"300","21625","Categoria 2"
"301","22907","Categoria 5"
"302","22815","Categoria 7"
"303","85049C","Categoria 3"
"304","21116","Categoria 5"
"305","22469","Categora 1"
"306","23321","Categoria 5"
"307","23431","Categoria 3"
"308","85061W","Categoria 7"
"309","23263","Categoria 7"
"310","23270","Categora 1"
"311","23381","Categoria 8"
"312","84922","Categoria 7"
"313","22804","Categoria 6"
"314","23057","Categoria 7"
"315","23056","Categoria 5"
"316","23055","Categoria 3"
"317","22173","Categoria 4"
"318","23571","Categoria 4"
"319","23434","Categoria 5"
"320","22591","Categoria 7"
"321","23313","Categoria 6"
"322","21813","Categoria 7"
"323","23103","Categoria 7"
"324","23039","Categoria 8"
"325","23405","Categora 1"
"326","22492","Categoria 3"
"327","23404","Categora 1"
"328","23409","Categoria 3"
"329","20772","Categoria 6"
"330","23191","Categoria 2"
"331","23439","Categora 1"
"332","23318","Categoria 6"
"333","23319","Categoria 3"
"334","23373","Categoria 3"
"335","23320","Categoria 3"
"336","23349","Categoria 2"
"337","23351","Categoria 5"
"338","23271","Categoria 2"
"339","23100","Categoria 4"
"340","22621","Categoria 5"
"341","23314","Categoria 2"
"342","22568","Categora 1"
"343","35095A","Categoria 6"
"344","23108","Categoria 7"
"345","23408","Categora 1"
"346","35751C","Categoria 5"
"347","72739B","Categoria 7"
"348","22114","Categoria 5"
"349","22212","Categoria 2"
"350","21523","Categoria 8"
"351","48187","Categoria 3"
"352","48195","Categoria 2"
"353","85232D","Categoria 6"
"354","20828","Categoria 4"
"355","21784","Categoria 8"
"356","21172","Categoria 5"
"357","82600","Categoria 6"
"358","22282","Categoria 7"
"359","21842","Categoria 2"
"360","20734","Categoria 8"
"361","35071","Categora 1"
"362","22121","Categoria 6"
"363","21485","Categora 1"
"364","84836","Categoria 3"
"365","22122","Categoria 2"
"366","79341","Categoria 4"
"367","37449","Categoria 6"
"368","22275","Categoria 2"
"369","37343","Categoria 7"
"370","21477","Categora 1"
"371","21479","Categoria 2"
"372","84031B","Categoria 5"
"373","84029E","Categoria 2"
"374","47591D","Categoria 8"
"375","47591C","Categora 1"
"376","48129","Categoria 7"
"377","85065","Categoria 3"
"378","84619","Categora 1"
"379","79072","Categoria 8"
"380","C2","Categoria 6"
"381","21469","Categoria 4"
"382","72760B","Categoria 5"
"383","85132A","Categoria 4"
"384","46000P","Categoria 5"
"385","85047","Categoria 8"
"386","85042","Categoria 6"
"387","84987","Categoria 6"
"388","22198","Categoria 2"
"389","21843","Categoria 2"
"390","22112","Categoria 3"
"391","22101","Categoria 7"
"392","21737","Categoria 7"
"393","21733","Categora 1"
"394","21674","Categora 1"
"395","21648","Categoria 5"
"396","21553","Categoria 6"
"397","21552","Categora 1"
"398","21210","Categoria 4"
"399","21146","Categoria 4"
"400","21143","Categoria 8"
"401","20754","Categoria 4"
"402","20752","Categoria 3"
"403","20751","Categoria 3"
"404","20749","Categoria 4"
"405","22278","Categoria 3"
"406","22187","Categoria 7"
"407","20888","Categoria 7"
"408","72753C","Categoria 7"
"409","72753A","Categoria 5"
"410","84396","Categoria 6"
"411","21164","Categoria 3"
"412","22415","Categoria 3"
"413","21669","Categoria 8"
"414","21668","Categoria 4"
"415","21670","Categoria 7"
"416","21671","Categoria 2"
"417","22224","Categoria 4"
"418","22223","Categoria 4"
"419","84510B","Categoria 7"
"420","84926C","Categora 1"
"421","20679","Categoria 3"
"422","15056BL","Categoria 6"
"423","21053","Categoria 8"
"424","21652","Categoria 2"
"425","21249","Categoria 8"
"426","22183","Categoria 7"
"427","84578","Categoria 2"
"428","84580","Categoria 4"
"429","21888","Categoria 3"
"430","20977","Categoria 7"
"431","21519","Categoria 4"
"432","84970S","Categora 1"
"433","85232B","Categoria 7"
"434","84993B","Categoria 2"
"435","48173C","Categoria 3"
"436","21554","Categoria 6"
"437","21498","Categoria 7"
"438","79321","Categoria 6"
"439","21054","Categoria 6"
"440","21056","Categoria 4"
"441","21061","Categora 1"
"442","21063","Categoria 8"
"443","84990","Categoria 8"
"444","84782B","Categoria 6"
"445","22111","Categoria 2"
"446","22215","Categoria 4"
"447","21659","Categoria 6"
"448","22184","Categoria 8"
"449","84782A","Categoria 7"
"450","20681","Categoria 7"
"451","20682","Categoria 8"
"452","21833","Categoria 3"
"453","21641","Categora 1"
"454","22313","Categora 1"
"455","22312","Categoria 2"
"456","20733","Categoria 3"
"457","47503E","Categora 1"
"458","22075","Categoria 3"
"459","22211","Categoria 2"
"460","21846","Categoria 4"
"461","21849","Categoria 7"
"462","21851","Categoria 2"
"463","21850","Categoria 6"
"464","21847","Categoria 3"
"465","21880","Categoria 5"
"466","21884","Categora 1"
"467","48197","Categoria 8"
"468","22076","Categoria 3"
"469","22109","Categoria 6"
"470","22347","Categoria 3"
"471","22107","Categoria 3"
"472","22110","Categoria 2"
"473","84031A","Categoria 6"
"474","84032A","Categoria 6"
"475","84032B","Categoria 2"
"476","21482","Categoria 2"
"477","21868","Categoria 5"
"478","21874","Categoria 8"
"479","22197","Categora 1"
"480","22063","Categora 1"
"481","22061","Categoria 8"
"482","15056N","Categoria 4"
"483","M","Categoria 4"
"484","16119","Categoria 8"
"485","22120","Categoria 7"
"486","48188","Categoria 7"
"487","22180","Categoria 8"
"488","37501","Categoria 4"
"489","37502","Categoria 7"
"490","22060","Categoria 6"
"491","20991","Categoria 3"
"492","22242","Categora 1"
"493","21360","Categoria 6"
"494","21359","Categoria 7"
"495","21780","Categoria 6"
"496","21041","Categoria 8"
"497","22318","Categoria 8"
"498","21051","Categoria 8"
"499","22172","Categoria 3"
"500","47503G","Categoria 6"
"501","85048","Categoria 3"
"502","84839","Categoria 6"
"503","21773","Categoria 6"
"504","47503J","Categoria 8"
"505","20771","Categoria 4"
"506","20992","Categoria 4"
"507","21126","Categora 1"
"508","21125","Categoria 7"
"509","21275","Categoria 6"
"510","21322","Categoria 5"
"511","21486","Categoria 4"
"512","35968","Categoria 8"
"513","22218","Categoria 7"
"514","22296","Categora 1"
"515","22297","Categoria 7"
"516","22236","Categoria 4"
"517","22349","Categoria 4"
"518","22350","Categoria 8"
"519","47599A","Categoria 2"
"520","84913A","Categoria 6"
"521","84917","Categoria 4"
"522","82011C","Categoria 3"
"523","71459","Categoria 5"
"524","84970L","Categoria 3"
"525","84978","Categoria 4"
"526","20971","Categoria 3"
"527","20972","Categora 1"
"528","84867A","Categoria 6"
"529","20794","Categoria 6"
"530","82486","Categora 1"
"531","21893","Categoria 7"
"532","21895","Categoria 3"
"533","85113","Categora 1"
"534","21444","Categoria 5"
"535","84992","Categoria 5"
"536","21681","Categora 1"
"537","85091","Categoria 6"
"538","84378","Categoria 3"
"539","21989","Categoria 7"
"540","84520D","Categora 1"
"541","21076","Categoria 6"
"542","84519A","Categoria 5"
"543","84519B","Categoria 8"
"544","84968B","Categoria 7"
"545","22151","Categoria 3"
"546","21059","Categoria 6"
"547","21060","Categoria 5"
"548","18097C","Categoria 4"
"549","20707","Categoria 7"
"550","20767","Categora 1"
"551","47580","Categoria 7"
"552","47559B","Categoria 2"
"553","47567B","Categoria 5"
"554","20658","Categora 1"
"555","20750","Categoria 3"
"556","21154","Categoria 6"
"557","21042","Categoria 6"
"558","21529","Categoria 2"
"559","84279P","Categoria 2"
"560","84279B","Categoria 6"
"561","22243","Categoria 7"
"562","22254","Categoria 5"
"563","47505","Categoria 6"
"564","20783","Categoria 2"
"565","20781","Categoria 2"
"566","20780","Categoria 8"
"567","20782","Categoria 4"
"568","21788","Categoria 4"
"569","21789","Categora 1"
"570","21740","Categoria 3"
"571","21738","Categoria 8"
"572","21739","Categora 1"
"573","20863","Categoria 6"
"574","20862","Categoria 6"
"575","20865","Categoria 3"
"576","20778","Categoria 5"
"577","20766","Categoria 7"
"578","20760","Categoria 2"
"579","21993","Categoria 6"
"580","21992","Categoria 7"
"581","21991","Categoria 3"
"582","21291","Categoria 5"
"583","21702","Categoria 8"
"584","21947","Categoria 5"
"585","20990","Categora 1"
"586","20989","Categoria 4"
"587","21948","Categoria 4"
"588","21160","Categoria 4"
"589","21158","Categoria 2"
"590","21162","Categoria 3"
"591","21161","Categoria 5"
"592","21159","Categora 1"
"593","21770","Categoria 7"
"594","22106","Categoria 5"
"595","22105","Categoria 2"
"596","48116","Categora 1"
"597","21524","Categoria 3"
"598","48194","Categoria 6"
"599","21260","Categoria 8"
"600","21114","Categora 1"
"601","21348","Categoria 5"
"602","21288","Categoria 6"
"603","21292","Categoria 7"
"604","21289","Categoria 2"
"605","21408","Categoria 3"
"606","21614","Categoria 5"
"607","20901","Categora 1"
"608","84050","Categoria 6"
"609","84791","Categoria 5"
"610","48184","Categoria 7"
"611","85016","Categoria 6"
"612","90005A","Categoria 2"
"613","84937","Categoria 5"
"614","85066","Categoria 8"
"615","20906","Categoria 5"
"616","21068","Categoria 3"
"617","20993","Categoria 4"
"618","22132","Categoria 3"
"619","35096A","Categoria 4"
"620","ADJUST","Categoria 7"
"621","20770","Categoria 6"
"622","22325","Categoria 2"
"623","20728","Categoria 6"
"624","20725","Categoria 7"
"625","47590A","Categoria 3"
"626","47590B","Categoria 4"
"627","22332","Categoria 2"
"628","22331","Categoria 7"
"629","22085","Categoria 2"
"630","21204","Categoria 5"
"631","85188A","Categoria 7"
"632","85200","Categoria 6"
"633","21717","Categoria 7"
"634","22292","Categoria 4"
"635","22241","Categoria 3"
"636","16237","Categoria 6"
"637","21945","Categoria 5"
"638","20693","Categoria 4"
"639","20703","Categoria 6"
"640","21190","Categoria 4"
"641","85067","Categora 1"
"642","82494L","Categoria 2"
"643","22171","Categora 1"
"644","21333","Categoria 3"
"645","21688","Categoria 6"
"646","48111","Categoria 7"
"647","18098C","Categoria 5"
"648","21494","Categoria 6"
"649","84270","Categoria 4"
"650","21484","Categoria 5"
"651","22052","Categora 1"
"652","20765","Categoria 4"
"653","22136","Categoria 2"
"654","22221","Categora 1"
"655","22244","Categoria 3"
"656","22245","Categoria 8"
"657","45008C","Categoria 6"
"658","21381","Categoria 4"
"659","21156","Categoria 7"
"660","22027","Categora 1"
"661","22023","Categoria 2"
"662","21508","Categoria 6"
"663","21507","Categoria 8"
"664","22025","Categoria 8"
"665","16169N","Categoria 6"
"666","21561","Categoria 3"
"667","22367","Categoria 2"
"668","20712","Categoria 2"
"669","21931","Categoria 7"
"670","20711","Categoria 7"
"671","22029","Categoria 7"
"672","22048","Categoria 4"
"673","21390","Categoria 2"
"674","21563","Categoria 8"
"675","21564","Categoria 4"
"676","22131","Categoria 7"
"677","22135","Categora 1"
"678","22196","Categoria 6"
"679","22134","Categoria 7"
"680","22195","Categoria 3"
"681","22133","Categoria 6"
"682","84988","Categoria 8"
"683","22088","Categoria 8"
"684","22090","Categoria 4"
"685","21559","Categoria 2"
"686","20978","Categoria 6"
"687","21913","Categoria 5"
"688","21791","Categoria 5"
"689","21786","Categora 1"
"690","21188","Categoria 3"
"691","21219","Categoria 8"
"692","21220","Categoria 2"
"693","21221","Categora 1"
"694","84678","Categoria 8"
"695","84680","Categoria 3"
"696","22191","Categoria 6"
"697","85163B","Categoria 6"
"698","85165","Categora 1"
"699","84706F","Categora 1"
"700","85020","Categoria 6"
"701","85097B","Categora 1"
"702","85098B","Categoria 8"
"703","21064","Categoria 4"
"704","20979","Categoria 5"
"705","22384","Categoria 4"
"706","20726","Categoria 6"
"707","85178","Categoria 2"
"708","47567","Categoria 4"
"709","72802B","Categoria 6"
"710","20896","Categoria 8"
"711","21591","Categoria 4"
"712","20621","Categoria 8"
"713","21592","Categora 1"
"714","21506","Categoria 8"
"715","21090","Categoria 6"
"716","22279","Categoria 6"
"717","85017B","Categoria 2"
"718","21084","Categoria 2"
"719","85170C","Categoria 7"
"720","21613","Categoria 5"
"721","85041","Categoria 6"
"722","85040B","Categoria 2"
"723","20934","Categoria 4"
"724","22411","Categoria 8"
"725","21929","Categoria 3"
"726","21497","Categora 1"
"727","21928","Categoria 4"
"728","21611","Categoria 4"
"729","21067","Categoria 3"
"730","21877","Categora 1"
"731","85175","Categoria 5"
"732","22127","Categoria 3"
"733","22372","Categoria 5"
"734","22371","Categora 1"
"735","22374","Categoria 6"
"736","20761","Categoria 5"
"737","20773","Categoria 4"
"738","21038","Categoria 2"
"739","21040","Categoria 8"
"740","21635","Categoria 7"
"741","20689","Categoria 5"
"742","85177","Categoria 4"
"743","85174","Categoria 7"
"744","48185","Categoria 2"
"745","20886","Categoria 8"
"746","37495","Categoria 5"
"747","21897","Categoria 4"
"748","21898","Categora 1"
"749","22319","Categoria 7"
"750","47593B","Categoria 6"
"751","84828","Categoria 8"
"752","22326","Categora 1"
"753","85121B","Categoria 2"
"754","21667","Categoria 5"
"755","21467","Categoria 2"
"756","21472","Categoria 7"
"757","10002","Categoria 7"
"758","84931B","Categoria 2"
"759","21587","Categoria 6"
"760","21455","Categoria 7"
"761","22228","Categora 1"
"762","22229","Categoria 4"
"763","22268","Categoria 4"
"764","22281","Categoria 4"
"765","85196","Categoria 8"
"766","22148","Categoria 3"
"767","22322","Categoria 3"
"768","85185B","Categoria 4"
"769","85185D","Categoria 6"
"770","84761","Categoria 3"
"771","48189","Categoria 2"
"772","35921","Categora 1"
"773","21988","Categoria 6"
"774","21092","Categoria 7"
"775","20684","Categoria 6"
"776","20657","Categoria 7"
"777","20619","Categoria 3"
"778","85063","Categoria 5"
"779","21781","Categoria 8"
"780","21715","Categoria 2"
"781","21716","Categoria 8"
"782","21718","Categoria 3"
"783","84077","Categoria 4"
"784","22169","Categoria 6"
"785","20970","Categoria 8"
"786","21777","Categoria 8"
"787","22271","Categoria 7"
"788","21549","Categoria 4"
"789","21545","Categoria 5"
"790","22087","Categoria 4"
"791","84880","Categoria 2"
"792","72351B","Categoria 4"
"793","72351A","Categoria 7"
"794","21609","Categoria 5"
"795","22260","Categoria 3"
"796","85189","Categoria 8"
"797","21380","Categoria 5"
"798","22028","Categoria 6"
"799","21765","Categora 1"
"800","84380","Categoria 5"
"801","22284","Categoria 6"
"802","22217","Categoria 4"
"803","18096C","Categoria 8"
"804","21643","Categoria 5"
"805","21752","Categora 1"
"806","21836","Categoria 6"
"807","20777","Categoria 7"
"808","20776","Categoria 3"
"809","77081","Categoria 3"
"810","84925F","Categoria 2"
"811","21548","Categoria 6"
"812","21547","Categoria 2"
"813","21471","Categoria 6"
"814","20702","Categoria 3"
"815","22209","Categoria 3"
"816","22210","Categoria 8"
"817","22189","Categoria 5"
"818","22288","Categoria 2"
"819","84459A","Categoria 2"
"820","84459B","Categoria 6"
"821","22293","Categoria 3"
"822","22381","Categoria 4"
"823","22386","Categoria 8"
"824","84795A","Categoria 7"
"825","79029","Categoria 3"
"826","84755","Categoria 3"
"827","84795D","Categoria 3"
"828","21169","Categoria 5"
"829","21173","Categora 1"
"830","21165","Categoria 6"
"831","22413","Categoria 2"
"832","72755D","Categoria 7"
"833","72755C","Categoria 7"
"834","84596B","Categoria 5"
"835","84596F","Categoria 4"
"836","21166","Categoria 3"
"837","84596K","Categora 1"
"838","21175","Categora 1"
"839","35971","Categoria 7"
"840","21473","Categoria 2"
"841","21474","Categora 1"
"842","84932A","Categora 1"
"843","16202C","Categoria 3"
"844","20892","Categoria 2"
"845","84706D","Categoria 2"
"846","21438","Categoria 5"
"847","21533","Categoria 8"
"848","85088","Categoria 2"
"849","84977","Categoria 5"
"850","85202","Categoria 5"
"851","84601A","Categora 1"
"852","22354","Categoria 3"
"853","16169P","Categoria 8"
"854","16161U","Categoria 6"
"855","21495","Categoria 3"
"856","22038","Categoria 4"
"857","22412","Categoria 8"
"858","82001S","Categoria 3"
"859","22041","Categora 1"
"860","85150","Categoria 4"
"861","21903","Categoria 6"
"862","21904","Categoria 7"
"863","22170","Categoria 6"
"864","35004C","Categoria 2"
"865","21872","Categoria 8"
"866","21137","Categora 1"
"867","21870","Categoria 4"
"868","47504G","Categoria 2"
"869","16156L","Categoria 8"
"870","21503","Categoria 3"
"871","22040","Categoria 8"
"872","20976","Categoria 5"
"873","21179","Categoria 6"
"874","35922","Categoria 6"
"875","84447","Categoria 5"
"876","84452","Categoria 6"
"877","84457","Categoria 2"
"878","84458","Categoria 4"
"879","85194L","Categoria 5"
"880","84969","Categoria 5"
"881","21397","Categoria 6"
"882","21403","Categoria 5"
"883","21755","Categoria 5"
"884","21004","Categoria 2"
"885","21937","Categora 1"
"886","21975","Categoria 2"
"887","POST","Categoria 7"
"888","85099F","Categoria 5"
"889","22096","Categoria 6"
"890","22097","Categoria 8"
"891","21871","Categoria 6"
"892","21086","Categoria 3"
"893","21094","Categoria 7"
"894","21844","Categoria 7"
"895","22072","Categoria 7"
"896","20692","Categoria 3"
"897","84469","Categoria 7"
"898","21099","Categoria 3"
"899","21764","Categora 1"
"900","21902","Categoria 3"
"901","21901","Categoria 6"
"902","21584","Categoria 3"
"903","21900","Categoria 7"
"904","21899","Categoria 4"
"905","21666","Categoria 2"
"906","21313","Categoria 7"
"907","82552","Categoria 8"
"908","21174","Categoria 2"
"909","21911","Categoria 6"
"910","21980","Categoria 5"
"911","22203","Categoria 6"
"912","20914","Categoria 8"
"913","21218","Categoria 2"
"914","21216","Categoria 2"
"915","22070","Categoria 2"
"916","21974","Categora 1"
"917","22202","Categoria 8"
"918","21396","Categoria 2"
"919","21402","Categoria 8"
"920","22192","Categoria 5"
"921","21837","Categoria 7"
"922","22487","Categoria 2"
"923","22194","Categoria 3"
"924","22193","Categoria 4"
"925","85206B","Categoria 4"
"926","84692","Categora 1"
"927","85099C","Categora 1"
"928","21936","Categoria 5"
"929","21448","Categoria 3"
"930","22610","Categora 1"
"931","22584","Categoria 3"
"932","22583","Categoria 6"
"933","21111","Categora 1"
"934","21108","Categoria 2"
"935","21110","Categoria 4"
"936","21774","Categora 1"
"937","20961","Categoria 2"
"938","20963","Categoria 6"
"939","82011A","Categoria 5"
"940","82011B","Categoria 6"
"941","35915C","Categoria 3"
"942","22270","Categoria 4"
"943","84748","Categoria 8"
"944","20819","Categoria 8"
"945","21735","Categoria 7"
"946","21769","Categora 1"
"947","21658","Categoria 7"
"948","20719","Categoria 2"
"949","20723","Categora 1"
"950","22356","Categoria 2"
"951","21432","Categoria 4"
"952","79320","Categoria 2"
"953","21612","Categoria 7"
"954","21470","Categoria 6"
"955","21745","Categora 1"
"956","22457","Categoria 8"
"957","21876","Categoria 4"
"958","21462","Categoria 2"
"959","22380","Categoria 5"
"960","22474","Categora 1"
"961","22472","Categoria 7"
"962","21069","Categoria 2"
"963","21070","Categoria 3"
"964","84997B","Categoria 3"
"965","84997C","Categoria 6"
"966","22507","Categoria 4"
"967","22378","Categora 1"
"968","22377","Categoria 4"
"969","21217","Categoria 8"
"970","22465","Categoria 4"
"971","22464","Categoria 8"
"972","21759","Categoria 3"
"973","21314","Categoria 6"
"974","21682","Categoria 8"
"975","22382","Categoria 2"
"976","22383","Categoria 3"
"977","22473","Categora 1"
"978","22365","Categoria 8"
"979","21746","Categoria 4"
"980","72349B","Categoria 3"
"981","35241","Categoria 8"
"982","22496","Categoria 4"
"983","21663","Categoria 8"
"984","21662","Categoria 7"
"985","21708","Categoria 5"
"986","85008","Categoria 7"
"987","20898","Categoria 7"
"988","21361","Categora 1"
"989","21794","Categoria 5"
"990","21793","Categoria 8"
"991","21792","Categoria 6"
"992","22385","Categoria 2"
"993","22480","Categoria 2"
"994","22481","Categoria 2"
"995","22482","Categoria 2"
